Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;Hip_x_domega;target_cos;target_sin
14:29:25.336716;-0.057225453;0.0;0.001;-2.189670194;0.0;1.0;0.0
14:29:25.348930;-0.056194292;0.075450808;0.001190215;-2.189560089;0.013918176;1.0;0.0
14:29:25.361909;-0.056194292;0.0;0.001347938;-2.189464699;0.012126521;1.0;0.0
14:29:25.372222;-0.056194292;0.0;0.001347938;-2.189464699;0.012126521;1.0;0.0
14:29:25.382381;-0.054866237;0.097000585;0.001954006;-2.189138969;0.044266958;1.0;0.0
14:29:25.393209;-0.053889666;0.069730646;0.002842005;-2.188661245;0.063406321;1.0;0.0
14:29:25.403554;-0.051882399;0.143795418;0.004323151;-2.187870429;0.106105437;1.0;0.0
14:29:25.414561;-0.051882399;0.143795418;0.004323151;-2.187870429;0.106105437;1.0;0.0
14:29:25.424674;-0.050906992;0.064069451;0.006096317;-2.186904194;0.116470203;1.0;0.0
14:29:25.435341;-0.04987566;0.07943871;0.007749228;-2.185987631;0.127316003;1.0;0.0
14:29:25.445624;-0.047869453;0.144593788;0.009993295;-2.184742149;0.161737167;1.0;0.0
14:29:25.456653;-0.047869453;0.144593788;0.009993295;-2.184742149;0.161737167;1.0;0.0
14:29:25.466825;-0.047568585;0.021133037;0.012097342;-2.183532511;0.147788578;1.0;0.0
14:29:25.478273;-0.04659349;0.069421002;0.014232543;-2.182279629;0.152013621;1.0;0.0
14:29:25.488790;-0.04659349;0.069421002;0.014232543;-2.182279629;0.152013621;1.0;0.0
14:29:25.498968;-0.047624875;-0.070065948;0.015775744;-2.181286856;0.104835607;1.0;0.0
14:29:25.509471;-0.048656207;-0.066532171;0.016748687;-2.180548058;0.062765425;1.0;0.0
14:29:25.520082;-0.048656207;0.0;0.01743516;-2.179979964;0.052210992;1.0;0.0
14:29:25.530561;-0.049687484;-0.078065085;0.017669413;-2.179630892;0.017732289;1.0;0.0
14:29:25.543346;-0.049687484;-0.078065085;0.017669413;-2.179630892;0.017732289;1.0;0.0
14:29:25.553781;-0.050718705;-0.079791099;0.017503957;-2.179486312;-0.012802204;1.0;0.0
14:29:25.563987;-0.0516938;-0.071083159;0.016977635;-2.179513;-0.038368158;1.0;0.0
14:29:25.574064;-0.052724961;-0.070143748;0.016064817;-2.179726633;-0.06209358;1.0;0.0
14:29:25.585764;-0.052724961;0.0;0.01527428;-2.17990498;-0.057085681;1.0;0.0
14:29:25.596003;-0.052724961;0.0;0.01527428;-2.17990498;-0.057085681;1.0;0.0
14:29:25.606033;-0.052780966;-0.003330483;0.014372395;-2.18010678;-0.05363335;1.0;0.0
14:29:25.616505;-0.052780966;-0.003330483;0.014372395;-2.18010678;-0.05363335;1.0;0.0
14:29:25.626945;-0.051806459;0.070805473;0.014032315;-2.180081363;-0.024709442;1.0;0.0
14:29:25.637675;-0.051806459;0.0;0.013700466;-2.180055377;-0.023976183;1.0;0.0
14:29:25.647756;-0.051806459;0.0;0.01338305;-2.180029467;-0.023281181;1.0;0.0
14:29:25.657897;-0.051863579;-0.004293117;0.013062884;-2.180013631;-0.024063656;1.0;0.0
14:29:25.669763;-0.051863579;-0.004293117;0.013062884;-2.180013631;-0.024063656;1.0;0.0
14:29:25.679882;-0.051559547;0.023620889;0.012861403;-2.179947529;-0.015653478;1.0;0.0
14:29:25.689955;-0.051559547;0.0;0.012648127;-2.179882075;-0.015807314;1.0;0.0
14:29:25.700138;-0.052590517;-0.079031481;0.012102827;-2.179993329;-0.041801281;1.0;0.0
14:29:25.710485;-0.052894549;-0.021850445;0.011457117;-2.180152338;-0.046406402;1.0;0.0
14:29:25.720539;-0.052894549;-0.021850445;0.011457117;-2.180152338;-0.046406402;1.0;0.0
14:29:25.730906;-0.052894549;0.0;0.01087243;-2.180291815;-0.042687761;1.0;0.0
14:29:25.742406;-0.052894549;0.0;0.010358105;-2.180410513;-0.039418094;1.0;0.0
14:29:25.752896;-0.052894549;0.0;0.009850217;-2.180523604;-0.036421418;1.0;0.0
14:29:25.765087;-0.052894549;0.0;0.009850217;-2.180523604;-0.036421418;1.0;0.0
14:29:25.775325;-0.053868466;-0.068671348;0.009028273;-2.180800805;-0.057955701;1.0;0.0
14:29:25.787337;-0.052894549;0.071370757;0.008646088;-2.180871339;-0.028007367;1.0;0.0
14:29:25.798166;-0.052894549;0.0;0.008284417;-2.180934626;-0.02603905;1.0;0.0
14:29:25.809257;-0.053925452;-0.074421527;0.007590609;-2.181171658;-0.050086421;1.0;0.0
14:29:25.821773;-0.054899368;-0.064783306;0.006546854;-2.181587424;-0.069428871;1.0;0.0
14:29:25.831848;-0.054899368;-0.064783306;0.006546854;-2.181587424;-0.069428871;1.0;0.0
14:29:25.842183;-0.054899368;0.0;0.005661755;-2.181942647;-0.061785026;1.0;0.0
14:29:25.852734;-0.054899368;0.0;0.004935518;-2.182236351;-0.055369708;1.0;0.0
14:29:25.865552;-0.056904706;-0.150718759;0.003600269;-2.18284736;-0.100355676;1.0;0.0
14:29:25.875788;-0.056904706;-0.150718759;0.003600269;-2.18284736;-0.100355676;1.0;0.0
14:29:25.886456;-0.056904706;0.0;0.002129498;-2.183535235;-0.088133031;1.0;0.0
14:29:25.897250;-0.057879801;-0.068477737;0.001;-2.184237496;-0.079320956;1.0;0.0
14:29:25.907495;-0.056848969;0.078636657;0.001;-2.184646411;0.0;1.0;0.0
14:29:25.919816;-0.056848969;0.078636657;0.001;-2.184646411;0.0;1.0;0.0
14:29:25.930375;-0.055818067;0.079477793;0.001;-2.184832821;0.0;1.0;0.0
14:29:25.940967;-0.055818067;0.0;0.001;-2.185014768;0.0;1.0;0.0
14:29:25.952804;-0.055818067;0.0;0.001;-2.185160638;0.0;1.0;0.0
14:29:25.962865;-0.055818067;0.0;0.001;-2.185289086;0.0;1.0;0.0
14:29:25.974487;-0.055818067;0.0;0.001;-2.185289086;0.0;1.0;0.0
14:29:25.984668;-0.054842972;0.068027168;0.001082234;-2.185233029;0.00573705;1.0;0.0
14:29:25.995098;-0.053812002;0.075960327;0.001502157;-2.185005466;0.030939266;1.0;0.0
14:29:26.005423;-0.052837495;0.07017867;0.002218755;-2.184621221;0.051605498;1.0;0.0
14:29:26.015795;-0.052837495;0.0;0.002810616;-2.184292278;0.045199382;1.0;0.0
14:29:26.031478;-0.051806459;0.063965569;0.003854042;-2.183716629;0.064734271;1.0;0.0
14:29:26.043491;-0.051806459;0.063965569;0.003854042;-2.183716629;0.064734271;1.0;0.0
14:29:26.053563;-0.052837495;-0.075444825;0.004260431;-2.183457919;0.02973699;1.0;0.0
14:29:26.064055;-0.052837495;0.0;0.004635336;-2.183204687;0.025380302;1.0;0.0
14:29:26.074445;-0.052837495;0.0;0.004916157;-2.183002079;0.021579073;1.0;0.0
14:29:26.086530;-0.052837495;0.0;0.004916157;-2.183002079;0.021579073;1.0;0.0
14:29:26.096656;-0.051863579;0.074044124;0.005481167;-2.182651108;0.042956168;1.0;0.0
14:29:26.108861;-0.051559547;0.021463352;0.006113294;-2.182252811;0.044625346;1.0;0.0
14:29:26.118956;-0.050585366;0.070608588;0.006978314;-2.181729844;0.062696699;1.0;0.0
14:29:26.129710;-0.050585366;0.0;0.007732246;-2.181250073;0.054011206;1.0;0.0
14:29:26.140879;-0.050585366;0.0;0.007732246;-2.181250073;0.054011206;1.0;0.0
14:29:26.151442;-0.049611781;0.073920758;0.008666115;-2.180675006;0.070905192;1.0;0.0
14:29:26.162055;-0.049611781;0.0;0.009579496;-2.180081103;0.060812503;1.0;0.0
14:29:26.172709;-0.049611781;0.0;0.01025732;-2.179612369;0.051830507;1.0;0.0
14:29:26.183983;-0.048580745;0.07888367;0.011175375;-2.179013129;0.070239566;1.0;0.0
14:29:26.197332;-0.048580745;0.0;0.012081014;-2.178384055;0.059816754;1.0;0.0
14:29:26.207662;-0.048580745;0.0;0.012081014;-2.178384055;0.059816754;1.0;0.0
14:29:26.217743;-0.047607754;0.066348946;0.013169386;-2.177654501;0.074216945;1.0;0.0
14:29:26.228177;-0.047607754;0.066348946;0.013169386;-2.177654501;0.074216945;1.0;0.0
14:29:26.238263;-0.047607754;0.0;0.014190483;-2.176917963;0.061886718;1.0;0.0
14:29:26.248819;-0.047300564;0.021419964;0.01503321;-2.176286869;0.058762061;1.0;0.0
14:29:26.259487;-0.046269464;0.077539562;0.016030581;-2.175581471;0.075003135;1.0;0.0
14:29:26.271527;-0.046269464;0.0;0.016912732;-2.174911795;0.063611807;1.0;0.0
14:29:26.281602;-0.046269464;0.0;0.016912732;-2.174911795;0.063611807;1.0;0.0
14:29:26.292128;-0.046327319;-0.003859726;0.017683606;-2.174266876;0.051428081;1.0;0.0
14:29:26.302804;-0.046327319;0.0;0.018249659;-2.173742787;0.042210087;1.0;0.0
14:29:26.312882;-0.046327319;0.0;0.018725205;-2.173249056;0.034363859;1.0;0.0
14:29:26.325203;-0.046327319;0.0;0.019082278;-2.172824757;0.027475644;1.0;0.0
14:29:26.337871;-0.046327319;0.0;0.019082278;-2.172824757;0.027475644;1.0;0.0
14:29:26.348041;-0.046327319;0.0;0.019362299;-2.172434587;0.021523656;1.0;0.0
14:29:26.358389;-0.046327319;0.0;0.019587175;-2.172048537;0.016011056;1.0;0.0
14:29:26.369461;-0.046327319;0.0;0.019756447;-2.171650424;0.010626263;1.0;0.0
14:29:26.381786;-0.046327319;0.0;0.019837595;-2.171340508;0.005965846;1.0;0.0
14:29:26.397400;-0.046327319;0.0;0.019837595;-2.171340508;0.005965846;1.0;0.0
14:29:26.407498;-0.046327319;0.0;0.019867886;-2.171028527;0.002026375;1.0;0.0
14:29:26.417942;-0.045354674;0.064610627;0.020202988;-2.170559236;0.022260093;1.0;0.0
14:29:26.428083;-0.045354674;0.0;0.020415781;-2.17018795;0.016319613;1.0;0.0
14:29:26.439477;-0.045354674;0.0;0.020572196;-2.169825833;0.011293856;1.0;0.0
14:29:26.452338;-0.045354674;0.0;0.020572196;-2.169825833;0.011293856;1.0;0.0
14:29:26.463145;-0.044323574;0.076380262;0.021006616;-2.169327862;0.032180343;1.0;0.0
14:29:26.473217;-0.044323574;0.0;0.021404015;-2.16878541;0.02452693;1.0;0.0
14:29:26.483292;-0.044323574;0.0;0.021637292;-2.16838776;0.017869968;1.0;0.0
14:29:26.494944;-0.044323574;0.0;0.021637292;-2.16838776;0.017869968;1.0;0.0
14:29:26.505318;-0.044323574;0.0;0.021810067;-2.168000516;0.012478858;1.0;0.0
14:29:26.515821;-0.043351531;0.071564598;0.022237785;-2.167487395;0.03148983;1.0;0.0
14:29:26.526617;-0.043351531;0.0;0.022575804;-2.167005944;0.024249811;1.0;0.0
14:29:26.536798;-0.043351531;0.0;0.022575804;-2.167005944;0.024249811;1.0;0.0
14:29:26.546922;-0.043351531;0.0;0.02282592;-2.166560235;0.017712825;1.0;0.0
14:29:26.557219;-0.043351531;0.0;0.02298762;-2.166171469;0.012032412;1.0;0.0
14:29:26.567585;-0.04232037;0.074429272;0.023435006;-2.165626072;0.032292394;1.0;0.0
14:29:26.578205;-0.04232037;0.0;0.023760521;-2.165155045;0.024925561;1.0;0.0
14:29:26.590213;-0.04232037;0.0;0.023760521;-2.165155045;0.024925561;1.0;0.0
14:29:26.605006;-0.04232037;0.0;0.024005062;-2.164717594;0.018535329;1.0;0.0
14:29:26.615611;-0.041289149;0.069782005;0.024560226;-2.164080997;0.037567582;1.0;0.0
14:29:26.625714;-0.040978806;0.019749335;0.025124534;-2.163408262;0.035910869;1.0;0.0
14:29:26.635789;-0.038975239;0.141455393;0.026197452;-2.162508101;0.075749949;1.0;0.0
14:29:26.645863;-0.038975239;0.141455393;0.026197452;-2.162508101;0.075749949;1.0;0.0
14:29:26.656075;-0.038975239;0.0;0.027010587;-2.16175641;0.062710643;1.0;0.0
14:29:26.666887;-0.038975239;0.0;0.027753593;-2.160985495;0.050963951;1.0;0.0
14:29:26.677246;-0.038003556;0.069900991;0.028639692;-2.160150278;0.063744266;1.0;0.0
14:29:26.690808;-0.038003556;0.0;0.029381492;-2.159359517;0.051280508;1.0;0.0
14:29:26.706243;-0.038003556;0.0;0.029902802;-2.158718471;0.04063714;1.0;0.0
14:29:26.719276;-0.038003556;0.0;0.030381488;-2.158011785;0.030886959;1.0;0.0
14:29:26.729497;-0.038003556;0.0;0.030381488;-2.158011785;0.030886959;1.0;0.0
14:29:26.739754;-0.039034833;-0.075629225;0.030341976;-2.157617459;-0.002897631;1.0;0.0
14:29:26.749998;-0.039034833;0.0;0.030242894;-2.157249559;-0.007191174;1.0;0.0
14:29:26.760125;-0.039034833;0.0;0.030242894;-2.157249559;-0.007191174;1.0;0.0
14:29:26.770399;-0.039034833;0.0;0.030093823;-2.156913378;-0.010951146;1.0;0.0
14:29:26.780964;-0.039034833;0.0;0.029902143;-2.156604371;-0.014204541;1.0;0.0
