Time;Hip_x;Hip_vel;Omega;GP_AO;target_cos;target_sin;target_omega
13:35:00.809185;-0.039359207;-0.046666115;0.001;2.550611516;1;0;0
13:35:00.822053;-0.039359207;-0.037332892;0.001;2.549550035;1;0;0
13:35:00.835679;-0.040378456;-0.045666896;0.001;2.548400506;1;0;0
13:35:00.848733;-0.040378456;-0.036533517;0.001;2.547285021;1;0;0
13:35:00.862066;-0.040378456;-0.029226813;0.001;2.54634519;1;0;0
13:35:00.875849;-0.040378456;-0.023381451;0.001;2.545476498;1;0;0
13:35:00.889727;-0.042414296;-0.048122702;0.001;2.544156712;1;0;0
13:35:00.903969;-0.042414296;-0.038498162;0.001;2.542949913;1;0;0
13:35:00.916941;-0.043433734;-0.045200861;0.001;2.541605713;1;0;0
13:35:00.930344;-0.043433734;-0.036160689;0.001;2.540461703;1;0;0
13:35:00.943356;-0.044453263;-0.044610284;0.001;2.539223007;1;0;0
13:35:00.956560;-0.045472881;-0.051232791;0.001;2.537856034;1;0;0
13:35:00.970976;-0.045472881;-0.040986233;0.001;2.536624736;1;0;0
13:35:00.986657;-0.04648887;-0.045088016;0.001;2.534937568;1;0;0
13:35:00.999845;-0.047508575;-0.051190831;0.001;2.533470362;1;0;0
13:35:01.013940;-0.047508575;-0.040952665;0.001;2.532092638;1;0;0
13:35:01.026938;-0.047508575;-0.032762132;0.001;2.530927349;1;0;0
13:35:01.040459;-0.047508575;-0.026209706;0.001;2.529885036;1;0;0
13:35:01.054109;-0.047508575;-0.020967764;0.001;2.528908249;1;0;0
13:35:01.068199;-0.047508575;-0.016774212;0.001;2.528004827;1;0;0
13:35:01.081523;-0.046492586;0.000816334;0.001;2.527416887;1;0;0
13:35:01.094763;-0.046492586;0.000653067;0.001;2.526926343;1;0;0
13:35:01.108542;-0.045472881;0.015920948;0.001;2.52671536;1;0;0
13:35:01.121734;-0.044456385;0.027477606;0.001030352;2.526759719;1;0;0
13:35:01.135841;-0.043436767;0.037584219;0.001285011;2.527029539;1;0;0
13:35:01.149443;-0.043433734;0.03011013;0.001532909;2.527297463;1;0;0
13:35:01.163572;-0.042414296;0.03839495;0.002004018;2.527793839;1;0;0
13:35:01.177186;-0.041394952;0.04589873;0.002637377;2.528458435;1;0;0
13:35:01.191297;-0.040375703;0.051151988;0.003482;2.529346385;1;0;0
13:35:01.204259;-0.040375703;0.04092159;0.004207532;2.530124194;1;0;0
13:35:01.217767;-0.040375703;0.032737272;0.004827444;2.530802715;1;0;0
13:35:01.232007;-0.039356552;0.040429785;0.00568839;2.531739047;1;0;0
13:35:01.245011;-0.039356552;0.032343828;0.006399657;2.532530848;1;0;0
13:35:01.260431;-0.039356552;0.025875062;0.007023807;2.533243229;1;0;0
13:35:01.273583;-0.039356552;0.02070005;0.00766849;2.53400177;1;0;0
13:35:01.287464;-0.038337501;0.032013179;0.008380255;2.534819463;1;0;0
13:35:01.300912;-0.039353489;0.010996866;0.00879613;2.535354825;1;0;0
13:35:01.314099;-0.039353489;0.008797493;0.009141551;2.535820889;1;0;0
13:35:01.327098;-0.039353489;0.007037994;0.009427832;2.536228345;1;0;0
13:35:01.340985;-0.039353489;0.005630395;0.009669626;2.536594608;1;0;0
13:35:01.355667;-0.04037254;-0.009147143;0.009633508;2.536702609;1;0;0
13:35:01.369271;-0.04037254;-0.007317714;0.009583795;2.53678264;1;0;0
13:35:01.382876;-0.04037254;-0.005854171;0.009518329;2.536848442;1;0;0
13:35:01.396552;-0.04037254;-0.004683337;0.009441187;2.536898928;1;0;0
13:35:01.409870;-0.04037254;-0.00374667;0.009350204;2.536937615;1;0;0
13:35:01.424065;-0.04037254;-0.002997336;0.00925136;2.536963715;1;0;0
13:35:01.437173;-0.04037254;-0.002397869;0.009138126;2.536979976;1;0;0
13:35:01.451521;-0.04037254;-0.001918295;0.00902281;2.536985883;1;0;0
13:35:01.465149;-0.04037254;-0.001534636;0.008893603;2.536983047;1;0;0
13:35:01.479363;-0.04037254;-0.001227709;0.008756192;2.536971624;1;0;0
13:35:01.493133;-0.04037254;-0.000982167;0.008618108;2.536953272;1;0;0
13:35:01.506804;-0.04037254;-0.000785734;0.008477751;2.536928907;1;0;0
13:35:01.520445;-0.039353489;0.014279518;0.008575087;2.537142841;1;0;0
13:35:01.534100;-0.039353489;0.011423615;0.008645285;2.537330778;1;0;0
13:35:01.548166;-0.039353489;0.009138892;0.00869037;2.537492787;1;0;0
13:35:01.561929;-0.039353489;0.007311113;0.00871421;2.537639018;1;0;0
13:35:01.575456;-0.039353489;0.005848891;0.008716824;2.537761668;1;0;0
13:35:01.589106;-0.039353489;0.004679113;0.008701126;2.537864978;1;0;0
13:35:01.602300;-0.038337501;0.018744926;0.008909135;2.538192297;1;0;0
13:35:01.615837;-0.039353489;-0.000445222;0.008841363;2.538241331;1;0;0
13:35:01.629725;-0.039353489;-0.000356177;0.008759737;2.538280055;1;0;0
13:35:01.643270;-0.039353489;-0.000284942;0.00866624;2.538307827;1;0;0
13:35:01.656807;-0.039353489;-0.000227953;0.008567661;2.538324469;1;0;0
13:35:01.670529;-0.039353489;-0.000182363;0.008458993;2.538332268;1;0;0
13:35:01.683968;-0.039353489;-0.00014589;0.008343088;2.538331609;1;0;0
13:35:01.697365;-0.038334539;0.015194286;0.008461402;2.538561791;1;0;0
13:35:01.711254;-0.038334539;0.012155429;0.008553172;2.538768697;1;0;0
13:35:01.725555;-0.038334539;0.009724343;0.008620158;2.53895494;1;0;0
13:35:01.738659;-0.038334539;0.007779475;0.008662988;2.539121162;1;0;0
13:35:01.752796;-0.038334539;0.00622358;0.008681791;2.539261017;1;0;0
13:35:01.766055;-0.038334539;0.004978864;0.00868062;2.539374336;1;0;0
13:35:01.779061;-0.038334539;0.003983091;0.008662663;2.539471403;1;0;0
13:35:01.792228;-0.038334539;0.003186473;0.008629927;2.539552134;1;0;0
13:35:01.805209;-0.038334539;0.002549178;0.008584059;2.539618576;1;0;0
13:35:01.819310;-0.038334539;0.002039343;0.008525815;2.539672704;1;0;0
