Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;Hip_x_domega;Knee_x;Knee_x_vel;Knee_x_omega;Knee_x_ao;Ankle_x;Ankle_x_vel;Ankle_x_omega;Ankle_x_ao;target_cos;target_sin
17:10:24.319207;-0.016856849455261;0.0;0.0557527279915029;2.864055949504678;-0.0878090882678849;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.331666;-0.016856849455261;0.0;0.0557527279915029;2.864055949504678;-0.0878090882678849;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.342040;-0.015835570684765;0.0299350727072617;0.0547990106521389;2.865467678730216;-0.0279547550784524;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.355572;-0.015835570684765;0.0299350727072617;0.0547990106521389;2.865467678730216;-0.0279547550784524;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.366437;-0.015835570684765;0.0;0.0539274314494232;2.866035789780245;-0.0472128531860593;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.384537;-0.015835570684765;0.0;0.0526548140575372;2.866567170317172;-0.0581004875389379;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.396134;-0.015835570684765;0.0;0.0526548140575372;2.866567170317172;-0.0581004875389379;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.406792;-0.015835570684765;0.0;0.0511804676071151;2.866971263544702;-0.0670880106824079;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.421659;-0.015835570684765;0.0;0.0511804676071151;2.866971263544702;-0.0670880106824079;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.431731;-0.015835570684765;0.0;0.0495775480101463;2.867267458649668;-0.0735834001497622;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.443807;-0.015835570684765;0.0;0.048142381408885;2.867451386927929;-0.0777906149750913;9.682845453626982;0;0;0;-4.06415802170244;0;0;0;1.0;0.0
17:10:24.459208;-0.015835570684765;0.0;0.048142381408885;2.867451386927929;-0.0777906149750913;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.469302;-0.015835570684765;0.0;0.0465763234672854;2.867590411745528;-0.0804432299875245;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.480094;-0.015835570684765;0.0;0.0465763234672854;2.867590411745528;-0.0804432299875245;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.490809;-0.015835570684765;0.0;0.0449406678918899;2.867684124557673;-0.0821119532726824;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.500935;-0.015835570684765;0.0;0.0435311965695089;2.867731923353336;-0.0828533086478944;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.513899;-0.015835570684765;0.0;0.0435311965695089;2.867731923353336;-0.0828533086478944;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.523978;-0.015835570684765;0.0;0.0420423397850399;2.867755652984375;-0.0829294816357039;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.534086;-0.015835570684765;0.0;0.0420423397850399;2.867755652984375;-0.0829294816357039;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.545016;-0.015835570684765;0.0;0.0405678012816883;2.867756624412824;-0.0824994829348547;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.556420;-0.015835570684765;0.0;0.0389076417784242;2.867735266615842;-0.0815701303183283;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.567349;-0.015835570684765;0.0;0.0389076417784242;2.867735266615842;-0.0815701303183283;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.577423;-0.016856849455261;-0.0504180629723881;0.0358835149586758;2.8669801190654205;-0.149293827345993;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.589583;-0.016856849455261;-0.0504180629723881;0.0358835149586758;2.8669801190654205;-0.149293827345993;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.600283;-0.0178371490837622;-0.0556800536694404;0.0323308996029741;2.865803635597036;-0.2017850542030639;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.610565;-0.0178371490837622;0.0;0.0294029081874823;2.8648455449019146;-0.1784801780325944;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0;1.0;0.0
17:10:24.620645;-0.0178371490837622;0.0;0.0294029081874823;2.8648455449019146;-0.1784801780325944;9.863863317753696;0;0;0;-4.186660922573424;0;0;0;1.0;0.0
17:10:24.631078;-0.0178371490837622;0.0;0.0263369225370558;2.863855847676451;-0.1570794143355955;9.863863317753696;0;0;0;-4.186660922573424;0;0;0;1.0;0.0
17:10:24.643975;-0.0178371490837622;0.0;0.0263369225370558;2.863855847676451;-0.1570794143355955;9.922362258269343;0;0;0;-4.186660922573424;0;0;0;1.0;0.0
17:10:24.654689;-0.0198390157385724;-0.1155346682461496;0.0215629680743212;2.861882783679608;-0.2755214707977385;9.922362258269343;0;0;0;-4.186660922573424;0;0;0;1.0;0.0
17:10:24.665330;-0.0201274296421578;-0.015530753452798;0.0168417187102051;2.8598775130009706;-0.2542337902290851;9.922362258269343;0;0;0;-4.186660922573424;0;0;0;1.0;0.0
17:10:24.678391;-0.0201274296421578;-0.015530753452798;0.0168417187102051;2.8598775130009706;-0.2542337902290851;9.980492491346157;0;0;0;-4.244791155650233;0;0;0;1.0;0.0
17:10:24.689106;-0.0201274296421578;0.0;0.0132687178769161;2.858339069659724;-0.2161969954741892;9.980492491346157;0;0;0;-4.244791155650233;0;0;0;1.0;0.0
17:10:24.699372;-0.0201274296421578;0.0;0.0101716695784668;2.8569859695848443;-0.185096265513117;9.980492491346157;0;0;0;-4.244791155650233;0;0;0;1.0;0.0
17:10:24.713824;-0.0201274296421578;0.0;0.0101716695784668;2.8569859695848443;-0.185096265513117;10.038975293789065;0;0;0;-4.244791155650233;0;0;0;1.0;0.0
17:10:24.724229;-0.0211481471005794;-0.0545698724268149;0.0059431127407212;2.855021174147556;-0.2260682476638724;10.038975293789065;0;0;0;-4.244791155650233;0;0;0;1.0;0.0
17:10:24.734544;-0.0211481471005794;0.0;0.0025600027335647;2.853405272115811;-0.1878024737073768;10.097092571807764;0;0;0;-4.302908433668932;0;0;0;1.0;0.0
17:10:24.748318;-0.0211481471005794;0.0;0.0025600027335647;2.853405272115811;-0.1878024737073768;10.15555912104341;0;0;0;-4.302908433668932;0;0;0;1.0;0.0
17:10:24.758384;-0.0221685808870208;-0.0615018136199424;0.001;2.8515306924193062;-0.0940217764651698;10.15555912104341;0;0;0;-4.361284204811739;0;0;0;1.0;0.0
17:10:24.768495;-0.0221685808870208;0.0;0.001;2.849896265615872;0.0;10.15555912104341;0;0;0;-4.361284204811739;0;0;0;1.0;0.0
17:10:24.783214;-0.0221685808870208;0.0;0.001;2.849896265615872;0.0;10.163588630194226;0;0;0;-4.361284204811739;0;0;0;1.0;0.0
17:10:24.793793;-0.0223087222590216;-0.0079296989895586;0.001;2.848410844826436;0.0;10.163588630194226;0;0;0;-4.361284204811739;0;0;0;1.0;0.0
17:10:24.805923;-0.0223087222590216;-0.0079296989895586;0.001;2.848410844826436;0.0;10.163588630194226;0;0;0;-4.361284204811739;0;0;0;1.0;0.0
17:10:24.815984;-0.0210394408215529;0.0597704381115075;0.001;2.847884698477902;0.0;10.163588630194226;0;0;0;-4.361284204811739;0;0;0;1.0;0.0
17:10:24.826616;-0.0210394408215529;0.0;0.001;2.847515977283752;0.0;10.163588630194226;0;0;0;-4.361284204811739;0;0;0;1.0;0.0
17:10:24.840269;-0.0210394408215529;0.0;0.001;2.847515977283752;0.0;10.163588630194226;0;0;0;-4.361284204811739;0;0;0;1.0;0.0
17:10:24.850765;-0.0210394408215529;0.0;0.001;2.847244967888333;0.0;10.2216928379338;0;0;0;-4.419388412551314;0;0;0;1.0;0.0
17:10:24.861429;-0.0200591411930517;0.0538747121168389;0.0016959854473196;2.847617706702;0.0382495458752582;10.2216928379338;0;0;0;-4.419388412551314;0;0;0;1.0;0.0
17:10:24.874781;-0.0200591411930517;0.0538747121168389;0.0016959854473196;2.847617706702;0.0382495458752582;10.2216928379338;0;0;0;-4.419388412551314;0;0;0;1.0;0.0
17:10:24.891938;-0.0200591411930517;0.0;0.0022189285909953;2.8479121264170324;0.0312063026942904;10.2216928379338;0;0;0;-4.419388412551314;0;0;0;1.0;0.0
17:10:24.902628;-0.0200591411930517;0.0;0.0026673662485952;2.848179860160758;0.0252637347119825;10.2216928379338;0;0;0;-4.419388412551314;0;0;0;1.0;0.0
17:10:24.912698;-0.0200591411930517;0.0;0.0030113889961614;2.8484005172478426;0.0201268991709315;10.2216928379338;0;0;0;-4.419388412551314;0;0;0;1.0;0.0
17:10:24.925938;-0.0200591411930517;0.0;0.0030113889961614;2.8484005172478426;0.0201268991709315;10.2216928379338;0;0;0;-4.419388412551314;0;0;0;1.0;0.0
