Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;Hip_x_domega;target_cos;target_sin
14:13:26.219855;-0.00545758;0.0;0.005096147;2.747805859;0.014996386;1.0;0.0
14:13:26.233208;-0.00545758;0.0;0.005096147;2.747805859;0.014996386;1.0;0.0
14:13:26.243312;-0.00545758;0.0;0.005262531;2.747967589;0.010982827;1.0;0.0
14:13:26.254238;-0.00545758;0.0;0.005365699;2.748091934;0.007539731;1.0;0.0
14:13:26.264497;-0.00545758;0.0;0.005429261;2.748196186;0.004736473;1.0;0.0
14:13:26.275311;-0.004430202;0.079059913;0.006305888;2.748710913;0.067459184;1.0;0.0
14:13:26.287383;-0.004430202;0.079059913;0.006305888;2.748710913;0.067459184;1.0;0.0
14:13:26.297689;-0.004430202;0.0;0.007085765;2.749194144;0.056081037;1.0;0.0
14:13:26.308463;-0.004430202;0.0;0.0078189;2.749682703;0.044878504;1.0;0.0
14:13:26.318996;-0.004430202;0.0;0.00829863;2.750032524;0.035200318;1.0;0.0
14:13:26.331560;-0.004430202;0.0;0.00829863;2.750032524;0.035200318;1.0;0.0
14:13:26.342073;-0.003402596;0.070664949;0.009635445;2.750831651;0.091928217;1.0;0.0
14:13:26.352699;-0.003402596;0.0;0.01068148;2.751496158;0.075232222;1.0;0.0
14:13:26.362791;-0.004680278;-0.089095292;0.010397783;2.751505468;-0.019782799;1.0;0.0
14:13:26.373312;-0.004680278;-0.089095292;0.010397783;2.751505468;-0.019782799;1.0;0.0
14:13:26.389313;-0.004680278;0.0;0.009841233;2.751499802;-0.020890491;1.0;0.0
14:13:26.399389;-0.004680278;0.0;0.009841233;2.751499802;-0.020890491;1.0;0.0
14:13:26.409596;-0.004627541;0.003314048;0.009556179;2.75151163;-0.017913031;1.0;0.0
14:13:26.419774;-0.004627541;0.0;0.009278996;2.751513277;-0.018615462;1.0;0.0
14:13:26.431340;-0.004627541;0.0;0.009278996;2.751513277;-0.018615462;1.0;0.0
14:13:26.442176;-0.004627541;0.0;0.009013416;2.751507829;-0.019075771;1.0;0.0
14:13:26.452655;-0.004627541;0.0;0.00869837;2.751494275;-0.019379989;1.0;0.0
14:13:26.463380;-0.003599484;0.075232026;0.009319551;2.751928131;0.045457307;1.0;0.0
14:13:26.475071;-0.003599484;0.0;0.009809281;2.752303208;0.036009638;1.0;0.0
14:13:26.485197;-0.003599484;0.0;0.009809281;2.752303208;0.036009638;1.0;0.0
14:13:26.495547;-0.003599484;0.0;0.010185495;2.752626941;0.027756092;1.0;0.0
14:13:26.505658;-0.003599484;0.0;0.010458585;2.752900294;0.020618862;1.0;0.0
14:13:26.515794;-0.003599484;0.0;0.010458585;2.752900294;0.020618862;1.0;0.0
14:13:26.526090;-0.003599484;0.0;0.010652434;2.753139397;0.014400521;1.0;0.0
14:13:26.536172;-0.003599484;0.0;0.01078343;2.753368005;0.008613548;1.0;0.0
