Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega;Unnamed: 9
17:16:38.711144;0.026163575;-0.002655991;0.005478666;1.911523485;-0.030044189;1;0;0;
17:16:38.721869;0.026163575;-0.002124793;0.005418763;1.911519715;-0.02215822;1;0;0;
17:16:38.732272;0.025148787;-0.020747998;0.005329975;1.911488187;-0.012999187;1;0;0;
17:16:38.742542;0.025148787;-0.016598398;0.005245781;1.911459456;-0.004235548;1;0;0;
17:16:38.754227;0.025148787;-0.013278719;0.005164499;1.911432854;0.001765866;1;0;0;
17:16:38.763168;0.025148787;-0.010622975;0.005089175;1.911409255;0.004058006;1;0;0;
17:16:38.775048;0.025148787;-0.00849838;0.005011783;1.91138612;0.001963266;1;0;0;
17:16:38.784172;0.026163575;0.013172468;0.004968426;1.911393475;0.003761092;1;0;0;
17:16:38.794264;0.026163575;0.010537974;0.004925469;1.911401441;0.007805015;1;0;0;
17:16:38.805068;0.026163575;0.008430379;0.004883998;1.91140978;0.016468776;1;0;0;
17:16:38.814649;0.027178139;0.02687145;0.004870772;1.911445726;0.025541289;1;0;0;
17:16:38.824649;0.027178139;0.02149716;0.004856886;1.911481164;0.037784889;1;0;0;
17:16:38.836007;0.027178139;0.017197728;0.004841455;1.911518233;0.043552507;1;0;0;
17:16:38.846296;0.027178139;0.013758182;0.004825663;1.911554044;0.04235623;1;0;0;
17:16:38.856929;0.027178139;0.011006546;0.004810163;1.911587404;0.03883408;1;0;0;
17:16:38.866737;0.027178139;0.008805237;0.004794283;1.911619999;0.034620021;1;0;0;
17:16:38.878035;0.027178139;0.007044189;0.004777377;1.911653164;0.027352478;1;0;0;
17:16:38.887625;0.026163575;-0.013861001;0.004732181;1.911657453;0.018069683;1;0;0;
17:16:38.897328;0.026163575;-0.011088801;0.004689381;1.911662216;0.014337056;1;0;0;
17:16:38.908193;0.026163575;-0.008871041;0.004644613;1.911667939;0.013425468;1;0;0;
17:16:38.919215;0.026163575;-0.007096833;0.004603037;1.911673946;0.011198494;1;0;0;
17:16:38.929726;0.026163575;-0.005677466;0.004559887;1.911680895;0.008730225;1;0;0;
17:16:38.939860;0.026163575;-0.004541973;0.004519842;1.911688006;0.006323639;1;0;0;
17:16:38.950095;0.025148787;-0.02367956;0.004454441;1.911668034;0.003153616;1;0;0;
17:16:38.961220;0.025148787;-0.018943648;0.004391598;1.911649725;-5.89E-05;1;0;0;
17:16:38.970603;0.025148787;-0.015154919;0.004327628;1.911632021;0.001292745;1;0;0;
17:16:38.981475;0.025148787;-0.012123935;0.004265073;1.911615666;0.002366324;1;0;0;
17:16:38.991437;0.025148787;-0.009699148;0.004208466;1.911601724;0.004283846;1;0;0;
17:16:39.001889;0.025148787;-0.007759318;0.004151198;1.911588488;0.003692738;1;0;0;
17:16:39.012719;0.024133776;-0.026201105;0.004070528;1.911549554;0.003819508;1;0;0;
17:16:39.023114;0.024133776;-0.020960884;0.003991827;1.911512397;0.005228526;1;0;0;
17:16:39.032493;0.024133776;-0.016768707;0.003917464;1.911478089;0.007048376;1;0;0;
17:16:39.042701;0.024133776;-0.013414966;0.003846019;1.911445908;0.007422685;1;0;0;
17:16:39.053417;0.024133776;-0.010731973;0.003776803;1.911415507;0.007701044;1;0;0;
17:16:39.064557;0.024133776;-0.008585578;0.003706357;1.911385402;0.007942848;1;0;0;
17:16:39.074623;0.024133776;-0.006868462;0.003641018;1.91135828;0.007805182;1;0;0;
17:16:39.084364;0.024133776;-0.00549477;0.003579648;1.911333554;0.007580027;1;0;0;
17:16:39.094668;0.024133776;-0.004395816;0.003520671;1.911310515;0.00844219;1;0;0;
