Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;target_cos;target_sin;target_omega;filter_hip_x
17:22:18.361732;-1.393924442012377e-06;-0.1010024624860027;0.7863433361053467;-2.928744245572961;1.0;0.0;0.0;-1.914057757634064e-16
17:22:18.371857;-1.393924442012377e-06;-0.1010024624860027;0.7863433361053467;-2.928744245572961;1.0;0.0;0.0;-1.9140577566000882e-16
17:22:18.381958;-1.393924442012377e-06;-0.1010024624860027;0.7863433361053467;-2.928744245572961;1.0;0.0;0.0;-1.914057748974517e-16
17:22:18.392052;-1.393924442012377e-06;-0.1010024624860027;0.7863433361053467;-2.928744245572961;1.0;0.0;0.0;-1.914057717309009e-16
17:22:18.402378;-0.0010109357869033;-0.1009541862461352;0.7508707046508789;-2.930747028670812;1.0;0.0;0.0;-4.226236591123533e-08
17:22:18.412853;-0.0010109357869033;-0.1009541862461352;0.7508707046508789;-2.930747028670812;1.0;0.0;0.0;-3.6106831780945706e-07
17:22:18.423239;-0.0010109357869033;-0.1009541862461352;0.7508707046508789;-2.930747028670812;1.0;0.0;0.0;-1.5438404658308835e-06
17:22:18.433721;-0.0010109357869033;-0.1009541862461352;0.7508707046508789;-2.930747028670812;1.0;0.0;0.0;-4.511695587949695e-06
17:22:18.445146;-0.0020212815546437;-0.1010345767740389;0.7561144828796387;-2.9327933355109685;1.0;0.0;0.0;-1.0380330214919094e-05
17:22:18.455261;-0.0020212815546437;-0.1010345767740389;0.7561144828796387;-2.9327933355109685;1.0;0.0;0.0;-2.0420924427198694e-05
17:22:18.465363;-0.0020212815546437;-0.1010345767740389;0.7561144828796387;-2.9327933355109685;1.0;0.0;0.0;-3.6084697523737516e-05
17:22:18.478876;-0.0020212815546437;0.0;0.737748384475708;-2.9339898650462324;1.0;0.0;0.0;-5.8892683857809754e-05
17:22:18.489309;-0.0020212815546437;0.0;0.737748384475708;-2.9339898650462324;1.0;0.0;0.0;-9.020287887837233e-05
17:22:18.499464;-0.0020212815546437;0.0;0.737748384475708;-2.9339898650462324;1.0;0.0;0.0;-0.00013100284026345806
17:22:18.510310;-0.0020212815546437;0.0;0.737748384475708;-2.9339898650462324;1.0;0.0;0.0;-0.00018178136534553345
17:22:18.520893;-0.0031887482996129;-0.1167466744969184;0.8152279853820801;-2.9359139077557934;1.0;0.0;0.0;-0.00024251580565311568
