Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega
17:10:41.030006;0.0602170336631888;-0.0015202493092371;0.0011097818530421;-1.5530501281236733;0.0032334632705897;-1.0;-1.2246467991473532e-16;0.0
17:10:41.040764;0.0602170336631888;-0.0012161994473896;0.0011164835974767;-1.553031849596011;0.0017067233566194;-1.0;-1.2246467991473532e-16;0.0
17:10:41.051627;0.0602170336631888;-0.0009729595579117;0.0011231422918815;-1.5530131277288004;0.0021719168871641;-1.0;-1.2246467991473532e-16;0.0
17:10:41.061720;0.0602170336631888;-0.0007783676463293;0.0011291165328296;-1.552995813615296;0.0028201912064105;-1.0;-1.2246467991473532e-16;0.0
17:10:41.071762;0.0602170336631888;-0.0006226941170635;0.0011352208440006;-1.5529775738140026;0.0042189094237983;-1.0;-1.2246467991473532e-16;0.0
17:10:41.082579;0.0602170336631888;-0.0004981552936508;0.0011408446731868;-1.552960236725771;0.0055249002762138;-1.0;-1.2246467991473532e-16;0.0
17:10:41.093516;0.0602170336631888;-0.0003985242349206;0.0011465611419232;-1.552942043968523;0.0072385920211672;-1.0;-1.2246467991473532e-16;0.0
17:10:41.103805;0.0592116887926784;-0.0188400528760905;0.0011950485625866;-1.5528808444075843;0.0058728787116706;-1.0;-1.2246467991473532e-16;0.0
17:10:41.114564;0.0592116887926784;-0.0150720423008724;0.0012385927951491;-1.5528249746249485;0.0031049000099301;-1.0;-1.2246467991473532e-16;0.0
17:10:41.124754;0.0592116887926784;-0.0120576338406979;0.0012803261414275;-1.552770556198403;-0.001727897208184;-1.0;-1.2246467991473532e-16;0.0
17:10:41.134921;0.0592116887926784;-0.0096461070725583;0.0013216525181354;-1.552715761055409;-0.0045398697257041;-1.0;-1.2246467991473532e-16;0.0
17:10:41.145783;0.0592116887926784;-0.0077168856580466;0.0013642832307765;-1.55265821315895;-0.0060830251313745;-1.0;-1.2246467991473532e-16;0.0
17:10:41.155672;0.0592116887926784;-0.0061735085264373;0.001402087379021;-1.552606239791659;-0.0061754998750984;-1.0;-1.2246467991473532e-16;0.0
17:10:41.166721;0.0592116887926784;-0.0049388068211498;0.0014410893201987;-1.5525516146708285;-0.0047110482119023;-1.0;-1.2246467991473532e-16;0.0
17:10:41.178172;0.0592116887926784;-0.0039510454569199;0.0014781870112596;-1.552498630053676;-0.0021761655807495;-1.0;-1.2246467991473532e-16;0.0
17:10:41.188137;0.0592116887926784;-0.0031608363655359;0.0015129414094711;-1.5524480070027464;0.0015567515511065;-1.0;-1.2246467991473532e-16;0.0
17:10:41.199385;0.0592116887926784;-0.0025286690924287;0.0015461806186088;-1.552398624359441;0.0046242475509643;-1.0;-1.2246467991473532e-16;0.0
17:10:41.210480;0.0592116887926784;-0.0020229352739429;0.0015790927161716;-1.5523487181570077;0.0077110007405281;-1.0;-1.2246467991473532e-16;0.0
17:10:41.220319;0.0592116887926784;-0.0016183482191543;0.0016084957213227;-1.5523032128695269;0.0089552262797951;-1.0;-1.2246467991473532e-16;0.0
17:10:41.231879;0.0592116887926784;-0.0012946785753235;0.0016389253504495;-1.5522551276608985;0.0076331081800162;-1.0;-1.2246467991473532e-16;0.0
17:10:41.240911;0.0592116887926784;-0.0010357428602588;0.0016661378463844;-1.5522112022902257;0.0093773175030946;-1.0;-1.2246467991473532e-16;0.0
17:10:41.251050;0.0592116887926784;-0.000828594288207;0.0016922425059396;-1.552168178013637;0.0093876169994473;-1.0;-1.2246467991473532e-16;0.0
17:10:41.261924;0.0592116887926784;-0.0006628754305656;0.0017185549341308;-1.5521238606698562;0.0114602968096733;-1.0;-1.2246467991473532e-16;0.0
17:10:41.271535;0.0592116887926784;-0.0005303003444525;0.0017426934487511;-1.5520822970941102;0.0127183739095926;-1.0;-1.2246467991473532e-16;0.0
17:10:41.282251;0.0592116887926784;-0.000424240275562;0.0017663093430535;-1.5520407239318077;0.0129853961989283;-1.0;-1.2246467991473532e-16;0.0
17:10:41.292201;0.0592116887926784;-0.0003393922204496;0.0017887173208999;-1.5520003783020264;0.0113800624385476;-1.0;-1.2246467991473532e-16;0.0
17:10:41.302822;0.0592116887926784;-0.0002715137763596;0.0018112167966624;-1.5519589149084876;0.0090233031660318;-1.0;-1.2246467991473532e-16;0.0
17:10:41.314516;0.0592116887926784;-0.0002172110210877;0.0018334118391097;-1.5519169983564247;0.0085198497399687;-1.0;-1.2246467991473532e-16;0.0
17:10:41.323560;0.0592116887926784;-0.0001737688168701;0.0018533770597237;-1.551878359945091;0.0073136133141815;-1.0;-1.2246467991473532e-16;0.0
17:10:41.334249;0.0592116887926784;-0.0001390150534961;0.0018729180888573;-1.551839615198441;0.0057993414811789;-1.0;-1.2246467991473532e-16;0.0
17:10:41.344375;0.0592116887926784;-0.0001112120427969;0.0018927143622606;-1.5517993505693202;0.005988210439682;-1.0;-1.2246467991473532e-16;0.0
17:10:41.355012;0.0592116887926784;-8.896963423754208e-05;0.0019103858650715;-1.551762473314683;0.006173990201205;-1.0;-1.2246467991473532e-16;0.0
17:10:41.365170;0.0592116887926784;-7.117570739003367e-05;0.0019273777160489;-1.5517261139055998;0.0064397384412586;-1.0;-1.2246467991473532e-16;0.0
17:10:41.375925;0.0582006489111013;-0.0188476854690798;0.0019912517705574;-1.551641153418727;0.0057144835591316;-1.0;-1.2246467991473532e-16;0.0
17:10:41.386788;0.0582006489111013;-0.0150781483752638;0.0020521378557938;-1.5515587306497187;0.0054399352520704;-1.0;-1.2246467991473532e-16;0.0
17:10:41.396128;0.0582006489111013;-0.012062518700211;0.0021078684118118;-1.55148196031685;0.0016217592637985;-1.0;-1.2246467991473532e-16;0.0
17:10:41.406879;0.0582006489111013;-0.0096500149601688;0.0021617170131224;-1.5514064839387738;-0.0004068631387781;-1.0;-1.2246467991473532e-16;0.0
17:10:41.417691;0.0582006489111013;-0.0077200119681351;0.0022163137451077;-1.5513285540971349;-0.0025428177323192;-1.0;-1.2246467991473532e-16;0.0
17:10:41.427779;0.0582006489111013;-0.006176009574508;0.0022660293474154;-1.551256264473141;-0.0037972279824316;-1.0;-1.2246467991473532e-16;0.0
17:10:41.437648;0.0582006489111013;-0.0049408076596064;0.0023140696143689;-1.551185114851526;-0.0015968821244314;-1.0;-1.2246467991473532e-16;0.0
17:10:41.448400;0.0582006489111013;-0.0039526461276851;0.0023629010689445;-1.5511113852148353;0.0008801094954833;-1.0;-1.2246467991473532e-16;0.0
