Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega
17:20:52.402680;0.013615842;0.0234879;0.072953005;-0.321860957;-0.035227463;1;0;0
17:20:52.413565;0.013615842;0.01879032;0.072935732;-0.321110556;-0.036500357;1;0;0
17:20:52.424052;0.013615842;0.015032256;0.072950924;-0.320359423;-0.039415251;1;0;0
17:20:52.433421;0.013615842;0.012025805;0.072996509;-0.319554794;-0.041149449;1;0;0
17:20:52.443471;0.013615842;0.009620644;0.073068567;-0.31873616;-0.037417043;1;0;0
17:20:52.453572;0.013615842;0.007696515;0.073163916;-0.317904413;-0.036990989;1;0;0
17:20:52.465996;0.013615842;0.006157212;0.073283352;-0.317037349;-0.034776669;1;0;0
17:20:52.475040;0.01462045;0.023100113;0.073311885;-0.316198526;-0.03336918;1;0;0
17:20:52.486166;0.01462045;0.01848009;0.073375162;-0.315315966;-0.032793686;1;0;0
17:20:52.496098;0.01462045;0.014784072;0.073459457;-0.314492056;-0.035354104;1;0;0
17:20:52.507123;0.01462045;0.011827258;0.07356807;-0.313639408;-0.035408217;1;0;0
17:20:52.517715;0.01462045;0.009461806;0.073706544;-0.31271511;-0.034152877;1;0;0
17:20:52.528065;0.01462045;0.007569445;0.073860631;-0.311806002;-0.033171117;1;0;0
17:20:52.537506;0.015634189;0.026021333;0.073916464;-0.310999872;-0.029536443;1;0;0
17:20:52.549434;0.015634189;0.020817066;0.074006018;-0.310108165;-0.027602194;1;0;0
17:20:52.559629;0.015634189;0.016653653;0.074122201;-0.309199498;-0.023477664;1;0;0
17:20:52.569688;0.015634189;0.013322923;0.074254951;-0.308318743;-0.022746831;1;0;0
17:20:52.582798;0.015634189;0.010658338;0.074419723;-0.307353373;-0.021069491;1;0;0
17:20:52.590631;0.015634189;0.00852667;0.074593649;-0.306429028;-0.016999906;1;0;0
17:20:52.600572;0.015634189;0.006821336;0.07479756;-0.305426796;-0.016663991;1;0;0
17:20:52.611218;0.015634189;0.005457069;0.075007604;-0.304458878;-0.018047666;1;0;0
17:20:52.621368;0.015634189;0.004365655;0.075234402;-0.303467328;-0.019970385;1;0;0
17:20:52.631570;0.014629581;-0.015288325;0.075609486;-0.302285368;-0.025956366;1;0;0
17:20:52.642215;0.014629581;-0.01223066;0.075966569;-0.301164732;-0.030264216;1;0;0
17:20:52.652221;0.014629581;-0.009784528;0.07632709;-0.300037528;-0.032674942;1;0;0
17:20:52.662909;0.014629581;-0.007827622;0.076710197;-0.298844033;-0.031631082;1;0;0
17:20:52.673287;0.01463898;-0.006081276;0.077088954;-0.297665867;-0.030665217;1;0;0
17:20:52.682857;0.01463898;-0.004865021;0.077459607;-0.29651684;-0.02989549;1;0;0
