Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;target_cos;target_sin;target_omega;filter_hip_x;filter_hip_vel
16:32:31.621452;0.0303175169896884;0.0;0.5237057209014893;-1.956369652623831;1.0;0.0;0.0;4.16302898754558e-12;0.0
16:32:31.631584;0.0303175169896884;0.0;0.5237057209014893;-1.956369652623831;1.0;0.0;0.0;4.163028985004481e-12;0.0
16:32:31.642076;0.0303175169896884;0.0;0.5237057209014893;-1.956369652623831;1.0;0.0;0.0;4.163028967852064e-12;0.0
16:32:31.652229;0.0303175169896884;0.0;0.5237057209014893;-1.956369652623831;1.0;0.0;0.0;4.163028899242395e-12;0.0
16:32:31.662959;0.0303175169896884;0.0;0.5420196056365967;-1.956053246254524;1.0;0.0;0.0;4.163028703577784e-12;0.0
16:32:31.673403;0.0303175169896884;0.0;0.5420196056365967;-1.956053246254524;1.0;0.0;0.0;4.1630282576149376e-12;0.0
16:32:31.684718;0.0303175169896884;0.0;0.5420196056365967;-1.956053246254524;1.0;0.0;0.0;4.163027389829683e-12;0.0
16:32:31.695578;0.0303175169896884;0.0;0.5420196056365967;-1.956053246254524;1.0;0.0;0.0;4.163025889099059e-12;0.0
16:32:31.706517;0.0303175169896884;0.0;0.5026955604553223;-1.9558208024934736;1.0;0.0;0.0;4.163023522277246e-12;0.0
16:32:31.717258;0.0303175169896884;0.0;0.5026955604553223;-1.9558208024934736;1.0;0.0;0.0;4.163020059183041e-12;0.0
16:32:31.727620;0.0303175169896884;0.0;0.5026955604553223;-1.9558208024934736;1.0;0.0;0.0;4.163015303304801e-12;0.0
16:32:31.738304;0.0303175169896884;0.0;0.5026955604553223;-1.9558208024934736;1.0;0.0;0.0;4.1630091261052736e-12;0.0
16:32:31.748426;0.0303175169896884;0.0;0.7475070953369141;-1.9555881134722704;1.0;0.0;0.0;4.1630015030205065e-12;0.0
16:32:31.758693;0.0303175169896884;0.0;0.7475070953369141;-1.9555881134722704;1.0;0.0;0.0;4.1629925494587376e-12;0.0
16:32:31.769479;0.0303175169896884;0.0;0.7475070953369141;-1.9555881134722704;1.0;0.0;0.0;4.162982555105236e-12;0.0
16:32:31.783796;0.0303175169896884;0.0;0.7047321796417236;-1.955398008601389;1.0;0.0;0.0;4.16297201462724e-12;0.0
16:32:31.794660;0.0303175169896884;0.0;0.7047321796417236;-1.955398008601389;1.0;0.0;0.0;4.1629616532967126e-12;0.0
