Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;
14:29:25.596003;-0.052724961;0;0.01527428;-2.17990498;
14:29:25.606033;-0.052780966;-0.003330483;0.014372395;-2.18010678;
14:29:25.616505;-0.052780966;-0.003330483;0.014372395;-2.18010678;
14:29:25.626945;-0.051806459;0.070805473;0.014032315;-2.180081363;
14:29:25.637675;-0.051806459;0;0.013700466;-2.180055377;
14:29:25.647756;-0.051806459;0;0.01338305;-2.180029467;
14:29:25.657897;-0.051863579;-0.004293117;0.013062884;-2.180013631;
14:29:25.669763;-0.051863579;-0.004293117;0.013062884;-2.180013631;
14:29:25.679882;-0.051559547;0.023620889;0.012861403;-2.179947529;
14:29:25.689955;-0.051559547;0;0.012648127;-2.179882075;
14:29:25.700138;-0.052590517;-0.079031481;0.012102827;-2.179993329;
14:29:25.710485;-0.052894549;-0.021850445;0.011457117;-2.180152338;
14:29:25.720539;-0.052894549;-0.021850445;0.011457117;-2.180152338;
14:29:25.730906;-0.052894549;0;0.01087243;-2.180291815;
14:29:25.742406;-0.052894549;0;0.010358105;-2.180410513;
14:29:25.752896;-0.052894549;0;0.009850217;-2.180523604;
14:29:25.765087;-0.052894549;0;0.009850217;-2.180523604;
14:29:25.775325;-0.053868466;-0.068671348;0.009028273;-2.180800805;
14:29:25.787337;-0.052894549;0.071370757;0.008646088;-2.180871339;
14:29:25.798166;-0.052894549;0;0.008284417;-2.180934626;
14:29:25.809257;-0.053925452;-0.074421527;0.007590609;-2.181171658;
14:29:25.821773;-0.054899368;-0.064783306;0.006546854;-2.181587424;
14:29:25.831848;-0.054899368;-0.064783306;0.006546854;-2.181587424;
14:29:25.842183;-0.054899368;0;0.005661755;-2.181942647;
14:29:25.852734;-0.054899368;0;0.004935518;-2.182236351;
14:29:25.865552;-0.056904706;-0.150718759;0.003600269;-2.18284736;
14:29:25.875788;-0.056904706;-0.150718759;0.003600269;-2.18284736;
14:29:25.886456;-0.056904706;0;0.002129498;-2.183535235;
14:29:25.897250;-0.057879801;-0.068477737;0.001;-2.184237496;
14:29:25.907495;-0.056848969;0.078636657;0.001;-2.184646411;
14:29:25.919816;-0.056848969;0.078636657;0.001;-2.184646411;
14:29:25.930375;-0.055818067;0.079477793;0.001;-2.184832821;
14:29:25.940967;-0.055818067;0;0.001;-2.185014768;
14:29:25.952804;-0.055818067;0;0.001;-2.185160638;
14:29:25.962865;-0.055818067;0;0.001;-2.185289086;
14:29:25.974487;-0.055818067;0;0.001;-2.185289086;
14:29:25.984668;-0.054842972;0.068027168;0.001082234;-2.185233029;
14:29:25.995098;-0.053812002;0.075960327;0.001502157;-2.185005466;
14:29:26.005423;-0.052837495;0.07017867;0.002218755;-2.184621221;
14:29:26.015795;-0.052837495;0;0.002810616;-2.184292278;
14:29:26.031478;-0.051806459;0.063965569;0.003854042;-2.183716629;
14:29:26.043491;-0.051806459;0.063965569;0.003854042;-2.183716629;
14:29:26.053563;-0.052837495;-0.075444825;0.004260431;-2.183457919;
14:29:26.064055;-0.052837495;0;0.004635336;-2.183204687;
14:29:26.074445;-0.052837495;0;0.004916157;-2.183002079;
14:29:26.086530;-0.052837495;0;0.004916157;-2.183002079;
14:29:26.096656;-0.051863579;0.074044124;0.005481167;-2.182651108;
14:29:26.108861;-0.051559547;0.021463352;0.006113294;-2.182252811;
14:29:26.118956;-0.050585366;0.070608588;0.006978314;-2.181729844;
14:29:26.129710;-0.050585366;0;0.007732246;-2.181250073;
14:29:26.140879;-0.050585366;0;0.007732246;-2.181250073;
14:29:26.151442;-0.049611781;0.073920758;0.008666115;-2.180675006;
14:29:26.162055;-0.049611781;0;0.009579496;-2.180081103;
14:29:26.172709;-0.049611781;0;0.01025732;-2.179612369;
14:29:26.183983;-0.048580745;0.07888367;0.011175375;-2.179013129;
14:29:26.197332;-0.048580745;0;0.012081014;-2.178384055;
14:29:26.207662;-0.048580745;0;0.012081014;-2.178384055;
14:29:26.217743;-0.047607754;0.066348946;0.013169386;-2.177654501;
14:29:26.228177;-0.047607754;0.066348946;0.013169386;-2.177654501;
14:29:26.238263;-0.047607754;0;0.014190483;-2.176917963;
14:29:26.248819;-0.047300564;0.021419964;0.01503321;-2.176286869;
14:29:26.259487;-0.046269464;0.077539562;0.016030581;-2.175581471;
14:29:26.271527;-0.046269464;0;0.016912732;-2.174911795;
14:29:26.281602;-0.046269464;0;0.016912732;-2.174911795;
14:29:26.292128;-0.046327319;-0.003859726;0.017683606;-2.174266876;
14:29:26.302804;-0.046327319;0;0.018249659;-2.173742787;
14:29:26.312882;-0.046327319;0;0.018725205;-2.173249056;
