Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;
17:11:45.632224;-0.038287442;0;0.001;2.934707625;
17:11:45.642982;-0.038287442;0;0.001;2.934707625;
17:11:45.653536;-0.03926831;-0.02954932;0.001;2.933240741;
17:11:45.663872;-0.03926831;-0.02954932;0.001;2.933240741;
17:11:45.673948;-0.03926831;0;0.001;2.932609162;
17:11:45.686114;-0.03926831;0;0.001;2.932609162;
17:11:45.697120;-0.03926831;0;0.001;2.932164926;
17:11:45.707844;-0.03926831;0;0.001;2.931802432;
17:11:45.720384;-0.03926831;0;0.001;2.931802432;
17:11:45.731203;-0.040290709;-0.058545491;0.001;2.931123456;
17:11:45.741579;-0.041272143;-0.060633883;0.001;2.930276419;
17:11:45.752639;-0.041272143;-0.060633883;0.001;2.930276419;
17:11:45.762789;-0.041272143;0;0.001;2.929568825;
17:11:45.773673;-0.041272143;0;0.001;2.928927124;
17:11:45.786947;-0.041272143;0;0.001;2.928927124;
17:11:45.798037;-0.041272143;0;0.001;2.92842769;
17:11:45.809140;-0.042254142;-0.05986452;0.001;2.927686885;
17:11:45.819523;-0.042254142;-0.05986452;0.001;2.927686885;
17:11:45.829618;-0.043562869;-0.080872725;0.001;2.926643118;
17:11:45.840277;-0.044544549;-0.063045884;0.001;2.925487394;
17:11:45.850348;-0.044544549;-0.063045884;0.001;2.925487394;
17:11:45.861111;-0.044544549;0;0.001;2.924213467;
17:11:45.873090;-0.044544549;0;0.001;2.924213467;
17:11:45.883541;-0.046548535;-0.116605485;0.001;2.922666094;
17:11:45.894467;-0.047531336;-0.063209667;0.001;2.921187066;
17:11:45.904797;-0.047531336;-0.063209667;0.001;2.921187066;
17:11:45.915622;-0.048552751;-0.063400913;0.001;2.919562977;
17:11:45.925818;-0.050557192;-0.123716012;0.001;2.917533133;
17:11:45.940124;-0.050557192;-0.123716012;0.001;2.917533133;
17:11:45.950856;-0.050839749;-0.01486747;0.001;2.915457873;
17:11:45.961494;-0.051986503;-0.060866984;0.001;2.913353959;
17:11:45.971613;-0.051986503;-0.060866984;0.001;2.913353959;
17:11:45.982083;-0.052970083;-0.051222555;0.001;2.91123559;
17:11:45.994613;-0.052970083;-0.051222555;0.001;2.91123559;
17:11:46.004690;-0.053991848;-0.062106578;0.001;2.909408108;
17:11:46.015606;-0.05497598;-0.06025166;0.001;2.907566377;
17:11:46.025942;-0.05497598;-0.06025166;0.001;2.907566377;
17:11:46.036024;-0.05497598;0;0.001;2.905766904;
17:11:46.046165;-0.05497598;0;0.001;2.905766904;
17:11:46.056367;-0.05497598;0;0.001;2.904561495;
17:11:46.066449;-0.05497598;0;0.001;2.903541571;
17:11:46.077979;-0.05497598;0;0.001;2.903541571;
17:11:46.088778;-0.055255319;-0.017211893;0.001;2.902577009;
17:11:46.099594;-0.056276747;-0.064404844;0.001;2.901456747;
17:11:46.112337;-0.056276747;-0.064404844;0.001;2.901456747;
17:11:46.122787;-0.056276747;0;0.001;2.900456981;
17:11:46.133015;-0.057297837;-0.056874838;0.001;2.899209573;
17:11:46.145681;-0.057297837;-0.056874838;0.001;2.899209573;
17:11:46.155802;-0.057297837;0;0.001;2.898251077;
17:11:46.166148;-0.057297837;0;0.001;2.897463296;
17:11:46.178627;-0.057297837;0;0.001;2.897463296;
17:11:46.188702;-0.058039246;-0.044345234;0.001;2.896545204;
17:11:46.199018;-0.058039246;-0.044345234;0.001;2.896545204;
17:11:46.209137;-0.058207375;-0.010645847;0.001;2.895766088;
17:11:46.219817;-0.058207375;0;0.001;2.894886445;
17:11:46.229893;-0.058207375;0;0.001;2.894886445;
17:11:46.240738;-0.059228794;-0.056272219;0.001;2.893925626;
