Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;
17:13:22.906768;0.03523198;-0.06330617;3.369755283;2.684540968;
17:13:22.917582;0.03523198;-0.06330617;3.369755283;2.684540968;
17:13:22.927809;0.0342057;-0.029875309;3.541201028;2.888904743;
17:13:22.940088;0.0342057;-0.029875309;3.541201028;2.888904743;
17:13:22.950168;0.031747961;-0.136391421;3.637616493;3.001783872;
17:13:22.960272;0.030721183;-0.060719849;3.732441157;3.111503529;
17:13:22.973749;0.030721183;-0.060719849;3.732441157;3.111503529;
17:13:22.983846;0.029694679;-0.06278041;3.827613284;-3.062294912;
17:13:22.994205;0.029694679;-0.06278041;3.827613284;-3.062294912;
17:13:23.004304;0.028668449;-0.059633625;3.930670245;-2.944015377;
17:13:23.014388;0.025707581;-0.154165036;4.046148735;-2.809679423;
17:13:23.025889;0.025707581;-0.154165036;4.046148735;-2.809679423;
17:13:23.036580;0.023713489;-0.124185398;4.142291746;-2.695865607;
17:13:23.047547;0.022358521;-0.085426082;4.235525886;-2.582804766;
17:13:23.059692;0.022358521;-0.085426082;4.235525886;-2.582804766;
17:13:23.070181;0.020365184;-0.119643017;4.329194688;-2.464617587;
17:13:23.080707;0.018371495;-0.123022535;4.414111104;-2.351304825;
17:13:23.091596;0.018371495;-0.123022535;4.414111104;-2.351304825;
17:13:23.101899;0.017346958;-0.064277541;4.490188208;-2.242291827;
17:13:23.113070;0.015407326;-0.121929985;4.556507198;-2.137163499;
17:13:23.123166;0.015407326;-0.121929985;4.556507198;-2.137163499;
17:13:23.133294;0.012116976;-0.201037542;4.61285822;-2.033936027;
17:13:23.144094;0.012116976;0;4.655952512;-1.939692764;
17:13:23.157247;0.012116976;0;4.655952512;-1.939692764;
17:13:23.167357;0.008685032;-0.195439601;4.690187499;-1.840495982;
17:13:23.177462;0.00766034;-0.05613175;4.711993452;-1.743754357;
17:13:23.190525;0.00766034;-0.05613175;4.711993452;-1.743754357;
17:13:23.201239;0.005664345;-0.121481711;4.721439945;-1.661522427;
17:13:23.211759;0.005664345;0;4.724200185;-1.585819411;
17:13:23.223901;0.005664345;0;4.724200185;-1.585819411;
17:13:23.235297;0.005716518;0.002958221;4.723522372;-1.502841729;
17:13:23.245415;0.004743674;-0.062146456;4.723075448;-1.429128802;
17:13:23.256852;0.004743674;-0.062146456;4.723075448;-1.429128802;
17:13:23.267319;0.004425192;-0.018590231;4.726606667;-1.346427335;
17:13:23.277521;0.002282472;-0.137064098;4.737084533;-1.267226099;
17:13:23.288940;0.002282472;-0.137064098;4.737084533;-1.267226099;
17:13:23.299859;0.002282472;0;4.758278212;-1.178543956;
17:13:23.310412;0.00028411;-0.123209557;4.792637758;-1.083928824;
17:13:23.322732;0.00028411;-0.123209557;4.792637758;-1.083928824;
17:13:23.332858;-0.000740715;-0.05876939;4.846621887;-0.972918144;
17:13:23.342976;-0.001714567;-0.05914207;4.915332893;-0.858214482;
17:13:23.354975;-0.001714567;-0.05914207;4.915332893;-0.858214482;
17:13:23.365720;-0.004028032;-0.144785972;4.999703569;-0.736836709;
17:13:23.376028;-0.005052248;-0.064686928;5.099129532;-0.607193003;
17:13:23.387108;-0.005052248;-0.064686928;5.099129532;-0.607193003;
17:13:23.397860;-0.005202369;-0.009185817;5.215551553;-0.464713919;
17:13:23.408507;-0.006227305;-0.054945982;5.361763122;-0.292971922;
17:13:23.421984;-0.006227305;-0.054945982;5.361763122;-0.292971922;
17:13:23.432071;-0.006227305;0;5.494897457;-0.138105718;
17:13:23.442960;-0.006227305;0;5.625945995;0.016349986;
