Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;target_cos;target_sin
17:14:13.161141;-0.179510352;-0.304756404;0.001;2.412578771;0.945483277;0.325670652
17:14:13.174561;-0.179510352;-0.304756404;0.001;2.412578771;0.932056974;0.362311741
17:14:13.184809;-0.187847105;-0.417042044;0.001;2.39770444;0.917211302;0.39840109
17:14:13.195092;-0.187847105;-0.417042044;0.001;2.39770444;0.900968868;0.433883739
17:14:13.205612;-0.197204767;-0.516449678;0.001;2.383766109;0.883354407;0.468705655
17:14:13.215916;-0.209040006;-0.595704265;0.001;2.367286657;0.864394744;0.50281381
17:14:13.229607;-0.209040006;-0.595704265;0.001;2.367286657;0.844118749;0.536156262
17:14:13.239995;-0.212086687;-0.178482117;0.001;2.354697605;0.822557302;0.568682236
17:14:13.250067;-0.215269938;-0.188680732;0.001;2.343301415;0.799743235;0.600342201
17:14:13.263969;-0.215269938;-0.188680732;0.001;2.343301415;0.775711291;0.631087944
17:14:13.274642;-0.215084282;0.010556266;0.001;2.333265141;0.750498066;0.660872645
17:14:13.284878;-0.225564628;-0.635083115;0.001;2.322614274;0.724141957;0.689650945
17:14:13.300368;-0.225564628;-0.635083115;0.001;2.322614274;0.6966831;0.71737902
17:14:13.311495;-0.237387025;-0.596912256;0.001;2.308340458;0.668163308;0.744014646
17:14:13.321687;-0.242680576;-0.324275304;0.001;2.297204633;0.638626014;0.76951726
17:14:13.333905;-0.242680576;-0.324275304;0.001;2.297204633;0.608116199;0.793848026
17:14:13.343979;-0.248967116;-0.361777451;0.001;2.285504416;0.576680322;0.816969893
17:14:13.354601;-0.265798455;-0.954921516;0.001;2.271256481;0.544366257;0.838847649
17:14:13.367542;-0.265798455;-0.954921516;0.001;2.271256481;0.511223211;0.859447979
17:14:13.378474;-0.271090028;-0.239956368;0.001;2.254837065;0.477301657;0.878739511
17:14:13.391053;-0.271090028;-0.239956368;0.001;2.254837065;0.442653251;0.896692868
17:14:13.401130;-0.278359002;-0.421949622;0.001;2.24255138;0.407330757;0.913280709
17:14:13.412249;-0.278359002;-0.421949622;0.001;2.24255138;0.371387966;0.928477775
17:14:13.422396;-0.285587481;-0.379401569;0.001;2.229248932;0.334879612;0.942260922
17:14:13.434500;-0.285587481;-0.379401569;0.001;2.229248932;0.297861292;0.954609161
17:14:13.445024;-0.285334051;0.011222569;0.001;2.216242004;0.260389378;0.965503688
17:14:13.455378;-0.290567157;-0.294604973;0.001;2.20658917;0.222520934;0.974927912
17:14:13.467134;-0.290567157;-0.294604973;0.001;2.20658917;0.184313627;0.982867482
17:14:13.478031;-0.298690449;-0.481797869;0.001;2.197051036;0.145825641;0.989310306
