Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;target_cos;target_sin
14:26:34.923463;-0.005298023;0;1.356216026;2.193440011;1;0
14:26:34.933781;-0.005298023;0;1.323337603;2.195793431;1;0
14:26:34.944918;-0.005298023;0;1.323337603;2.195793431;1;0
14:26:34.959259;-0.005298023;0;1.257901249;2.199160016;1;0
14:26:34.969400;-0.005298023;0;1.257901249;2.199160016;1;0
14:26:34.986857;-0.006329935;0;1.166613722;2.186169274;1;0
14:26:35.000451;-0.006329935;0;1.166613722;2.186169274;1;0
14:26:35.014018;-0.006329935;0;1.121289793;2.180111252;1;0
14:26:35.027293;-0.006329935;0;1.081621388;2.175024403;1;0
14:26:35.041281;-0.006329935;0;1.007447917;2.166054611;1;0
14:26:35.051425;-0.006329935;0;1.007447917;2.166054611;1;0
14:26:35.063507;-0.006329935;0;0.972336071;2.16205533;1;0
14:26:35.073664;-0.006329935;0;0.938450343;2.15834611;1;0
14:26:35.083819;-0.006329935;0;0.907210511;2.155057233;1;0
14:26:35.094565;-0.006329935;0;0.907210511;2.155057233;1;0
14:26:35.107882;-0.006329935;0;0.87815902;2.152111038;1;0
14:26:35.121556;-0.006329935;0;0.822417702;2.146759985;1;0
14:26:35.135866;-0.006329935;0;0.822417702;2.146759985;1;0
14:26:35.146361;-0.006329935;0;0.793409284;2.144131436;1;0
14:26:35.157058;-0.006329935;0;0.765942347;2.141740523;1;0
14:26:35.167590;-0.006329935;0;0.741681263;2.139707519;1;0
14:26:35.177790;-0.006329935;0;0.717733774;2.137772954;1;0
14:26:35.190554;-0.006329935;0;0.717733774;2.137772954;1;0
14:26:35.200831;-0.006329935;0;0.695845246;2.136067108;1;0
14:26:35.211849;-0.006329935;0;0.673319517;2.134373493;1;0
14:26:35.224494;-0.006329935;0;0.653203981;2.132913883;1;0
14:26:35.235180;-0.006329935;0;0.633725657;2.131547742;1;0
14:26:35.245313;-0.006329935;0;0.613916083;2.130205807;1;0
14:26:35.257971;-0.006329935;0;0.613916083;2.130205807;1;0
14:26:35.268068;-0.006329935;0;0.594900612;2.128962458;1;0
14:26:35.278425;-0.006329935;0;0.575982781;2.127768841;1;0
14:26:35.289284;-0.006329935;0;0.559164643;2.12674386;1;0
14:26:35.299441;-0.006329935;0;0.541526418;2.125705327;1;0
14:26:35.309933;-0.006329935;0;0.541526418;2.125705327;1;0
14:26:35.320323;-0.006329935;0;0.524890621;2.124759883;1;0
14:26:35.330489;-0.006329935;0;0.50972487;2.12392672;1;0
14:26:35.340732;-0.006329935;0;0.494406211;2.123112917;1;0
14:26:35.353353;-0.006329935;0;0.494406211;2.123112917;1;0
14:26:35.363494;-0.006329935;0;0.47963389;2.122354517;1;0
14:26:35.374151;-0.006329935;0;0.464888286;2.121623285;1;0
14:26:35.384907;-0.006329935;0;0.451461181;2.120979842;1;0
14:26:35.395086;-0.006329935;0;0.438331692;2.120371308;1;0
14:26:35.407073;-0.006329935;0;0.438331692;2.120371308;1;0
14:26:35.417131;-0.006329935;0;0.425991361;2.11981797;1;0
14:26:35.427707;-0.006329935;0;0.413715184;2.119285428;1;0
14:26:35.438265;-0.006329935;0;0.401294749;2.118764844;1;0
14:26:35.449528;-0.006329935;0;0.389642546;2.118293151;1;0
14:26:35.459983;-0.006329935;0;0.389642546;2.118293151;1;0
14:26:35.470102;-0.006329935;0;0.377089435;2.117803121;1;0
14:26:35.480191;-0.006329935;0;0.366515434;2.117404989;1;0
14:26:35.491342;-0.006329935;0;0.366515434;2.117404989;1;0
14:26:35.501484;-0.006329935;0;0.356351158;2.117034952;1;0
14:26:35.512209;-0.006329935;0;0.34467532;2.11662528;1;0
14:26:35.522298;-0.006329935;0;0.335202846;2.116305069;1;0
14:26:35.532726;-0.006329935;0;0.325721241;2.115995512;1;0
14:26:35.542839;-0.006329935;0;0.325721241;2.115995512;1;0
14:26:35.552920;-0.006329935;0;0.31491697;2.115656222;1;0
14:26:35.563216;-0.006329935;0;0.305486735;2.115371871;1;0
14:26:35.575192;-0.006329935;0;0.305486735;2.115371871;1;0
14:26:35.588860;-0.006329935;0;0.296543038;2.115112419;1;0
14:26:35.598944;-0.006329935;0;0.28811177;2.114877018;1;0
14:26:35.609246;-0.006329935;0;0.279483478;2.114645419;1;0
14:26:35.619673;-0.006329935;0;0.271708121;2.114444843;1;0
14:26:35.630668;-0.006329935;0;0.271708121;2.114444843;1;0
14:26:35.640946;-0.005363364;0.068717067;0.276894216;2.120897533;1;0
14:26:35.651800;-0.005363364;0;0.280880352;2.126699327;1;0
14:26:35.662472;-0.005363364;0;0.284046724;2.132343969;1;0
14:26:35.672689;-0.005363364;0;0.286070018;2.137059941;1;0
14:26:35.684716;-0.005363364;0;0.286070018;2.137059941;1;0
