Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;Hip_x_domega;Knee_x;Knee_x_vel;Knee_x_omega;Knee_x_ao;Ankle_x;Ankle_x_vel;Ankle_x_omega;Ankle_x_ao
17:10:24.319207;-0.01685684945526106;0.0;0.055752727991502965;2.864055949504678;-0.08780908826788494;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.331666;-0.01685684945526106;0.0;0.055752727991502965;2.864055949504678;-0.08780908826788494;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.342040;-0.01583557068476504;0.02993507270726178;0.05479901065213891;2.865467678730216;-0.027954755078452433;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.355572;-0.01583557068476504;0.02993507270726178;0.05479901065213891;2.865467678730216;-0.027954755078452433;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.366437;-0.01583557068476504;0.0;0.053927431449423295;2.866035789780245;-0.04721285318605932;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.384537;-0.01583557068476504;0.0;0.052654814057537226;2.866567170317172;-0.05810048753893798;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.396134;-0.01583557068476504;0.0;0.052654814057537226;2.866567170317172;-0.05810048753893798;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.406792;-0.01583557068476504;0.0;0.051180467607115136;2.866971263544702;-0.06708801068240798;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.421659;-0.01583557068476504;0.0;0.051180467607115136;2.866971263544702;-0.06708801068240798;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.431731;-0.01583557068476504;0.0;0.04957754801014638;2.8672674586496676;-0.07358340014976221;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.443807;-0.01583557068476504;0.0;0.048142381408885083;2.867451386927929;-0.07779061497509132;9.682845453626982;0;0;0;-4.06415802170244;0;0;0
17:10:24.459208;-0.01583557068476504;0.0;0.048142381408885083;2.867451386927929;-0.07779061497509132;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.469302;-0.01583557068476504;0.0;0.04657632346728548;2.867590411745528;-0.08044322998752458;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.480094;-0.01583557068476504;0.0;0.04657632346728548;2.867590411745528;-0.08044322998752458;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.490809;-0.01583557068476504;0.0;0.04494066789188994;2.867684124557673;-0.08211195327268245;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.500935;-0.01583557068476504;0.0;0.0435311965695089;2.867731923353336;-0.0828533086478944;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.513899;-0.01583557068476504;0.0;0.0435311965695089;2.867731923353336;-0.0828533086478944;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.523978;-0.01583557068476504;0.0;0.042042339785039906;2.867755652984375;-0.08292948163570392;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.534086;-0.01583557068476504;0.0;0.042042339785039906;2.867755652984375;-0.08292948163570392;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.545016;-0.01583557068476504;0.0;0.040567801281688354;2.8677566244128236;-0.08249948293485473;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.556420;-0.01583557068476504;0.0;0.03890764177842422;2.867735266615842;-0.08157013031832837;9.747205281742168;0;0;0;-4.1285178498176265;0;0;0
17:10:24.567349;-0.01583557068476504;0.0;0.03890764177842422;2.867735266615842;-0.08157013031832837;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0
17:10:24.577423;-0.01685684945526106;-0.05041806297238813;0.03588351495867585;2.8669801190654205;-0.14929382734599303;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0
17:10:24.589583;-0.01685684945526106;-0.05041806297238813;0.03588351495867585;2.8669801190654205;-0.14929382734599303;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0
17:10:24.600283;-0.017837149083762223;-0.0556800536694404;0.032330899602974125;2.865803635597036;-0.20178505420306392;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0
17:10:24.610565;-0.017837149083762223;0.0;0.02940290818748237;2.8648455449019146;-0.1784801780325944;9.8057202449979;0;0;0;-4.1285178498176265;0;0;0
17:10:24.620645;-0.017837149083762223;0.0;0.02940290818748237;2.8648455449019146;-0.1784801780325944;9.863863317753697;0;0;0;-4.186660922573424;0;0;0
17:10:24.631078;-0.017837149083762223;0.0;0.026336922537055888;2.863855847676451;-0.15707941433559552;9.863863317753697;0;0;0;-4.186660922573424;0;0;0
17:10:24.643975;-0.017837149083762223;0.0;0.026336922537055888;2.863855847676451;-0.15707941433559552;9.922362258269345;0;0;0;-4.186660922573424;0;0;0
17:10:24.654689;-0.019839015738572472;-0.11553466824614964;0.02156296807432128;2.861882783679608;-0.2755214707977385;9.922362258269345;0;0;0;-4.186660922573424;0;0;0
17:10:24.665330;-0.020127429642157812;-0.015530753452798004;0.016841718710205157;2.8598775130009706;-0.25423379022908515;9.922362258269345;0;0;0;-4.186660922573424;0;0;0
17:10:24.678391;-0.020127429642157812;-0.015530753452798004;0.016841718710205157;2.8598775130009706;-0.25423379022908515;9.980492491346155;0;0;0;-4.244791155650233;0;0;0
17:10:24.689106;-0.020127429642157812;0.0;0.013268717876916115;2.858339069659724;-0.21619699547418927;9.980492491346155;0;0;0;-4.244791155650233;0;0;0
17:10:24.699372;-0.020127429642157812;0.0;0.0101716695784668;2.8569859695848443;-0.18509626551311706;9.980492491346155;0;0;0;-4.244791155650233;0;0;0
