Time;Hip_x;Hip_x_vel;Hip_x_omega;Hip_x_ao;
14:17:59.658719;-0.183854436;2.058690399;5.750597773;2.58144698;
14:17:59.669063;-0.127144218;4.104148535;5.772423317;2.671995026;
14:17:59.679513;-0.071646043;3.836555906;5.802298766;2.770682704;
14:17:59.689998;-0.03656589;2.685632275;5.824250471;2.857617809;
14:17:59.700071;-0.005919318;2.269956915;5.839599284;2.944057265;
14:17:59.713041;-0.005919318;2.269956915;5.839599284;2.944057265;
14:17:59.723267;0.04766396;3.99784988;5.859899348;3.032641226;
14:17:59.734648;0.073574131;1.928301665;5.869508472;3.116276806;
14:17:59.745425;0.124791474;3.632760578;5.883983552;-3.076783368;
14:17:59.755498;0.149033743;1.808438962;5.887403601;-2.996149907;
14:17:59.768097;0.149033743;1.808438962;5.887403601;-2.996149907;
14:17:59.778285;0.19817255;3.514316907;5.896986045;-2.908943411;
14:17:59.788849;0.220964408;1.587730144;5.897884731;-2.823811059;
14:17:59.799353;0.220964408;1.587730144;5.897884731;-2.823811059;
14:17:59.809417;0.242043761;1.46070187;5.892160428;-2.741581444;
14:17:59.821145;0.277851944;2.011039143;5.888841241;-2.63832317;
14:17:59.831620;0.29281371;1.135074719;5.881896513;-2.564209326;
14:17:59.841705;0.29281371;1.135074719;5.881896513;-2.564209326;
14:17:59.852408;0.325910272;2.492348709;5.882875485;-2.485597378;
14:17:59.862846;0.340674143;0.967246242;5.883653123;-2.395398228;
14:17:59.872925;0.368458803;2.105464214;5.890751515;-2.314153632;
14:17:59.883683;0.381446509;1.002776084;5.898773008;-2.23379181;
14:17:59.896259;0.390670131;0.69146022;5.907460708;-2.150701587;
14:17:59.906425;0.390670131;0.69146022;5.907460708;-2.150701587;
14:17:59.916496;0.397106766;0.436820962;5.917040446;-2.058791265;
14:17:59.927348;0.398434378;0.095552804;5.92504817;-1.97251906;
14:17:59.937715;0.396287019;-0.163184538;5.931339096;-1.891363272;
14:17:59.947839;0.396287019;-0.163184538;5.931339096;-1.891363272;
14:17:59.959153;0.38523616;-0.825151317;5.935269595;-1.809935825;
14:17:59.969692;0.362135747;-1.692509844;5.93617957;-1.728467018;
14:17:59.980160;0.344056639;-1.256830658;5.936031403;-1.64315302;
14:17:59.992392;0.344056639;-1.256830658;5.936031403;-1.64315302;
14:18:00.002511;0.32509046;-1.44724455;5.935784272;-1.565487087;
14:18:00.012938;0.278298249;-3.488016427;5.936985333;-1.485251263;
14:18:00.023065;0.263466835;-0.937940807;5.941387135;-1.389138114;
14:18:00.033142;0.263466835;-0.937940807;5.941387135;-1.389138114;
14:18:00.043975;0.259393857;-0.288153046;5.946919991;-1.302353163;
14:18:00.054135;0.265338963;0.395710032;5.951913511;-1.210472523;
14:18:00.065811;0.28254708;1.258512971;5.952093276;-1.128997369;
14:18:00.078022;0.28254708;1.258512971;5.952093276;-1.128997369;
14:18:00.089302;0.301151206;1.344190938;5.946104162;-1.049652224;
14:18:00.099911;0.31390341;0.884178248;5.934152187;-0.969953597;
14:18:00.110080;0.311916946;-0.152028817;5.922457163;-0.898338216;
14:18:00.120418;0.299106622;-0.988237012;5.913885317;-0.825906364;
14:18:00.132372;0.299106622;-0.988237012;5.913885317;-0.825906364;
14:18:00.142454;0.299106622;0;5.902964894;-0.750174681;
14:18:00.154511;0.299106622;0;5.902964894;-0.750174681;
14:18:00.164585;0.285974892;-0.517681344;5.886260244;-0.608978454;
14:18:00.174712;0.266065147;-1.257143094;5.879900329;-0.518976973;
14:18:00.187032;0.253842151;-0.922819926;5.874400893;-0.44387509;
14:18:00.197842;0.253842151;-0.922819926;5.874400893;-0.44387509;
14:18:00.208052;0.230668981;-1.630971464;5.872875573;-0.36117215;
14:18:00.218921;0.207391023;-1.76876354;5.87389423;-0.283354035;
14:18:00.229059;0.207391023;-1.76876354;5.87389423;-0.283354035;
14:18:00.240065;0.184064089;-1.575350886;5.875468724;-0.195558261;
14:18:00.250656;0.148066807;-2.516550131;5.882311583;-0.108022913;
14:18:00.260746;0.134151803;-0.958804784;5.879721039;-0.023945492;
14:18:00.272509;0.134151803;-0.958804784;5.879721039;-0.023945492;
14:18:00.282599;0.099177761;-2.520305087;5.880045872;0.057833;
14:18:00.292704;0.075064586;-1.706118978;5.875864421;0.138840292;
14:18:00.304997;0.029883229;-3.344440201;5.879011409;0.219836114;
14:18:00.315591;0.004708387;-1.88296805;5.877675127;0.297780234;
14:18:00.326776;-0.024702668;-2.124078597;5.874342697;0.377497673;
14:18:00.339830;-0.024702668;-2.124078597;5.874342697;0.377497673;
14:18:00.350155;-0.047812065;-1.728776381;5.866641297;0.452138297;
14:18:00.360676;-0.091424939;-3.013404489;5.864888114;0.536179024;
14:18:00.371481;-0.112402341;-1.564845678;5.858352928;0.611504131;
14:18:00.382001;-0.156193262;-3.07822407;5.858557589;0.694966981;
14:18:00.392871;-0.156193262;-3.07822407;5.858557589;0.694966981;
14:18:00.403288;-0.177979663;-1.538179658;5.855278618;0.776298124;
14:18:00.413422;-0.200917417;-1.693125711;5.851083842;0.853507873;
14:18:00.423840;-0.235855635;-2.676075236;5.851378195;0.930056221;
14:18:00.436440;-0.235855635;-2.676075236;5.851378195;0.930056221;
14:18:00.447189;-0.251543616;-1.150023287;5.849543749;1.008955532;
14:18:00.457694;-0.273460642;-1.558901335;5.848337995;1.090591303;
14:18:00.469106;-0.282879972;-0.713990864;5.84535843;1.166239791;
14:18:00.479179;-0.291089685;-0.625777007;5.841620452;1.241035002;
14:18:00.489979;-0.291089685;-0.625777007;5.841620452;1.241035002;
14:18:00.500104;-0.300482441;-0.708524427;5.838156574;1.316722249;
14:18:00.510538;-0.318642772;-1.269723333;5.836410746;1.399338387;
14:18:00.520646;-0.318642772;-1.269723333;5.836410746;1.399338387;
14:18:00.531474;-0.32828205;-0.727395721;5.835464315;1.476201658;
14:18:00.542647;-0.347694192;-1.071895675;5.835479409;1.581890469;
14:18:00.552720;-0.356333514;-0.573894922;5.835438052;1.669715808;
14:18:00.565583;-0.356333514;-0.573894922;5.835438052;1.669715808;
14:18:00.575815;-0.371897302;-1.05187516;5.834148696;1.755404825;
14:18:00.586433;-0.37113758;0.055746282;5.832426584;1.834041845;
14:18:00.597225;-0.372082343;-0.070253213;5.829596464;1.911043495;
14:18:00.607925;-0.368104045;0.299903758;5.825945264;1.986526931;
14:18:00.619961;-0.362955548;0.375716326;5.820787857;2.063750367;
14:18:00.630135;-0.362955548;0.375716326;5.820787857;2.063750367;
14:18:00.640204;-0.352210132;0.735799238;5.814222603;2.145431362;
14:18:00.650912;-0.342555072;0.706469551;5.805659413;2.22055908;
14:18:00.661236;-0.328257807;1.088881453;5.795782376;2.291793203;
14:18:00.671487;-0.328257807;1.088881453;5.795782376;2.291793203;
14:18:00.682115;-0.290166095;2.744648989;5.791481894;2.370061893;
