Time	Hip_x	Hip_vel	Hip_omega	Hip_AO	Knee_x	Knee_vel	Knee_omega	Knee_AO	Ankle_x	Ankle_vel	Ankle_omega	Ankle_AO
16:39:30.147969	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.158107	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.168999	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.183006	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.193352	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.203878	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.214655	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.231605	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.241721	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.252421	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.262753	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.273087	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.284049	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.294191	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.304561	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.314693	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.325153	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.335277	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.348191	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.358932	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.369731	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.380590	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.391032	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.401246	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.411344	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.425796	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.436741	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.446856	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.457716	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.470446	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.480642	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.491854	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.504272	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.515064	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.525155	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.535686	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.545879	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.555989	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.566893	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.581130	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.591844	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.601992	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.612413	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.622571	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.632659	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.642752	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.657146	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.669541	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.679996	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.690904	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.701020	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.711956	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.722099	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.737089	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.747867	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.758425	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.769058	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.779331	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.790150	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.800256	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.814202	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.824856	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.834951	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.845995	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.856680	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.870633	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.880734	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.891154	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.901287	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.911379	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.922304	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.937285	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.949476	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.960410	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.971185	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.982089	0	0	0	0	0	0	0	0	0	0	0	0
16:39:30.993029	0	0	0	0	0	0	0	0	0	0	0	0
16:39:31.003179	0	0	0	0	0	0	0	0	0	0	0	0
