Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;target_cos;target_sin;target_omega;filter_hip_x;filter_hip_vel
17:19:54.678471;-0.0884722954834862;2.8475496663583204;6.475679397583008;2.422933468564988;0.4457383557765387;0.8951632913550621;3.1064998693609063;-0.0567668562886734;3.2465413470497433
17:19:54.688580;-0.0884722954834862;2.8475496663583204;6.475679397583008;2.422933468564988;0.4123563174739033;0.9110226492460884;3.09707675757453;-0.0468742483998154;3.3259899160040414
17:19:54.698727;-0.0884722954834862;2.8475496663583204;6.475679397583008;2.422933468564988;0.3784110500423101;0.9256376597815564;3.0876218411758414;-0.0367177971334905;3.4104400406021904
17:19:54.709281;-0.0384184373418281;5.005385814165813;6.473787307739258;2.4778363199232807;0.343948918633928;0.9389883606150564;3.077791666473419;-0.0262956406035352;3.4996352496416745
17:19:54.719901;-0.0384184373418281;5.005385814165813;6.473787307739258;2.4778363199232807;0.3090169943749474;0.9510565162951536;3.067904260129263;-0.0156066119099688;3.593439698012045
17:19:54.730169;-0.0384184373418281;5.005385814165813;6.473787307739258;2.4778363199232807;0.273662990072083;0.961825643172819;3.0583487552079225;-0.004644855952235;3.692055534357259
17:19:54.744417;0.0471697784480171;8.558821578984526;6.223049163818359;2.552961089233204;0.237935195042619;0.9712810319161138;3.0450964848565456;0.0066018202622275;3.796085203974334
17:19:54.755057;0.0471697784480171;8.558821578984526;6.223049163818359;2.552961089233204;0.2018824091570106;0.9794097676013658;3.0352056114114;0.0181560129207188;3.906689922525077
17:19:54.765309;0.0471697784480171;8.558821578984526;6.223049163818359;2.552961089233204;0.1655538761841304;0.9862007473534024;3.025680057696009;0.030056415144478;4.02581936844385
17:19:54.775837;0.0471697784480171;8.558821578984526;6.223049163818359;2.552961089233204;0.1289992165302029;0.9916446955107427;3.0159029378943893;0.0423515580809486;4.1559499909787245
17:19:54.786488;0.1188585700567988;7.168879160878169;6.146792411804199;2.6434176209159794;0.0922683594633018;0.9957341762950346;3.0060167636904347;0.0550856098959627;4.299312584897291
17:19:54.796583;0.1188585700567988;7.168879160878169;6.146792411804199;2.6434176209159794;0.0554114749159698;0.998463603967434;2.996651600403859;0.0682934066948191;4.457037748979109
17:19:54.806876;0.1188585700567988;7.168879160878169;6.146792411804199;2.6434176209159794;0.0184789049591299;0.9998292504580528;2.987107830638791;0.0820024444905934;4.628539121412854
17:19:54.820905;0.2017105275002275;8.285195744342873;6.054585933685303;2.7576356422663046;-0.0184789049591297;0.9998292504580528;2.974108502350792;0.0962306547557473;4.8114022108035055
17:19:54.831151;0.2017105275002275;8.285195744342873;6.054585933685303;2.7576356422663046;-0.0554114749159697;0.998463603967434;2.964620886100888;0.1109856571877497;5.0017841338876305
17:19:54.841297;0.2017105275002275;8.285195744342873;6.054585933685303;2.7576356422663046;-0.0922683594633016;0.9957341762950346;2.9552313110776245;0.1262676372619083;5.19496682282527
17:19:54.852154;0.2017105275002275;8.285195744342873;6.054585933685303;2.7576356422663046;-0.1289992165302028;0.9916446955107427;2.945189888022507;0.1420634870149091;5.385733702010873
17:19:54.862793;0.2704383141507467;6.872778665051915;5.975911140441895;2.888486289830862;-0.1655538761841294;0.9862007473534028;2.935356398247188;0.1583353846399474;5.568508227664965
17:19:54.873703;0.2704383141507467;6.872778665051915;5.975911140441895;2.888486289830862;-0.2018824091570105;0.9794097676013658;2.925279067960359;0.1750197768585731;5.737314753708518
17:19:54.883968;0.2704383141507467;6.872778665051915;5.975911140441895;2.888486289830862;-0.2379351950426189;0.9712810319161138;2.9158037912269115;0.1920340790961935;5.885747359660905
17:19:54.894202;0.2704383141507467;6.872778665051915;5.975911140441895;2.888486289830862;-0.2736629900720829;0.961825643172819;2.906363325934457;0.2092765640802375;6.007196962474098
17:19:54.904315;0.318780168032747;4.834185388200035;5.801351547241211;3.0288259511240447;-0.3090169943749473;0.9510565162951536;2.897040684438989;0.226621373964505;6.095210575130548
17:19:54.914736;0.318780168032747;4.834185388200035;5.801351547241211;3.0288259511240447;-0.3439489186339279;0.9389883606150566;2.887440701897237;0.2439210607973264;6.143623522831985
17:19:54.924869;0.318780168032747;4.834185388200035;5.801351547241211;3.0288259511240447;-0.37841105004231;0.9256376597815564;2.8781125714911693;0.2610150336421079;6.146566686136414
17:19:54.939635;0.3569856828173214;3.82055147845744;5.760455131530762;-3.1114954742999394;-0.4123563174739031;0.9110226492460886;2.864531255960276;0.2777349426837552;6.098697331984231
17:19:54.949819;0.3569856828173214;3.82055147845744;5.760455131530762;-3.1114954742999394;-0.4457383557765378;0.8951632913550626;2.855172669747393;0.2939091223480053;5.995556625793644
17:19:54.960331;0.3569856828173214;3.82055147845744;5.760455131530762;-3.1114954742999394;-0.4785115691012868;0.8780812480836978;2.8455199708575583;0.3093687622633668;5.83384691356481
